,pair_address_uni,token0,token1,WETH_balance_uni,pair_address_sushi,WETH_balance_sushi,token,res0_uni,res1_uni,res0_sushi,res1_sushi,other_balance_uni,other_balance_sushi,decimals
0,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,12650655189292990077642,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,7920758347850665609450,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,21752792357558,12650711390376653267270,13624343873336,7920758347850665609450,21752792357558,13624343873336,6
1,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4459139116906674198324,0xc3d03e4f041fd4cd388c549ee2a29a9e5075882f,2254189693158729148295,0x6b175474e89094c44da98b954eedeac495271d0f,7667545936732481024418533,4458677576840942893997,3877890921940468515037922,2254189693158729148295,7667545936732481024418533,3877890921940468515037922,18
2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2673487680499363772425,0xceff51756c56ceffca006cd410b03ffc46dd3a58,6032956557059931732223,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,17677581537,2673487680499363772425,39833113453,6032956557059931732223,17677581537,39833113453,8
3,0x43ae24960e5534731fc831386c07755a2dc33d47,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,263954723141847101628,0xa1d7b2d891e3a1f9ef4bbc5be20630c2feb1c470,140755832686110082980,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,163364803420458682478828,263954723141847101628,86428575236816882392337,140755832686110082980,163364803420458682478828,86428575236816882392337,18
4,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,0x514910771af9ca656af840dff83e8264ecf986ca,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,486346078440427395899,0xc40d16476380e4037e6b1a2594caf6a6cc8da967,566826245647469320230,0x514910771af9ca656af840dff83e8264ecf986ca,120718435904699730782961,486346078440427395899,140686122591211182241397,566826245647469320230,120718435904699730782961,140686122591211182241397,18
5,0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,23545768294379182345,0x796bc3622a6e0cd32e7bc02a9b6d6fdcbaf1cb26,8428086612386562689,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,1048461001,23545768294379182345,382182551,8428086612386562689,1048461001,382182551,4
6,0xc2adda861f89bbb333c90c492cb837741916a225,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,383716922080293633760,0xba13afecda9beb75de5c56bbaf696b880a5a50dd,107926285523511210547,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,910713177750983821520,383716922080293633760,256018803015954078221,107926285523511210547,910713177750983821520,256018803015954078221,18
7,0xc5be99a02c6857f9eac67bbce58df5572498f40c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd46ba6d942050d489dbd938a2c909a5d5039a161,1085894262541357781202,0xcb2286d9471cc185281c4f763d34a962ed212962,79135625477667221881,0xd46ba6d942050d489dbd938a2c909a5d5039a161,1082517142541714708203,1602914186093709,79135625477667221881,117058786310334,1602914186093709,117058786310334,9
8,0xc6f348dd3b91a56d117ec0071c1e9b83c0996de4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe41d2489571d322189246dafa5ebde1f4699f498,33975493619999515010,0x0bc5ae46c32d99c434b7383183aca16dd6e9bdc8,4804476786495211085,0xe41d2489571d322189246dafa5ebde1f4699f498,33975493619999515010,254677764439961253819790,4804476786495211085,36217472964215301904090,254677764439961253819790,36217472964215301904090,18
9,0xf80758ab42c3b07da84053fd88804bcb6baa4b5c,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,60366709617069972267,0xf1f85b2c54a2bd284b1cf4141d64fd171bd85539,85325592393458767065,0x57ab1ec28d129707052df4df418d58a2d46d5f51,103033702305647667260422,60366709617069972267,145568266255574692417649,85325592393458767065,103033702305647667260422,145568266255574692417649,18
