,token0,token1,token,pair_address_sushi,pair_address_uni
0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
1,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b175474e89094c44da98b954eedeac495271d0f,0xc3d03e4f041fd4cd388c549ee2a29a9e5075882f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11
2,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xceff51756c56ceffca006cd410b03ffc46dd3a58,0xbb2b8038a1640196fbe3e38816f3e67cba72d940
3,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0xa1d7b2d891e3a1f9ef4bbc5be20630c2feb1c470,0x43ae24960e5534731fc831386c07755a2dc33d47
4,0x514910771af9ca656af840dff83e8264ecf986ca,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x514910771af9ca656af840dff83e8264ecf986ca,0xc40d16476380e4037e6b1a2594caf6a6cc8da967,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974
5,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,0x796bc3622a6e0cd32e7bc02a9b6d6fdcbaf1cb26,0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6
6,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xba13afecda9beb75de5c56bbaf696b880a5a50dd,0xc2adda861f89bbb333c90c492cb837741916a225
7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd46ba6d942050d489dbd938a2c909a5d5039a161,0xd46ba6d942050d489dbd938a2c909a5d5039a161,0xcb2286d9471cc185281c4f763d34a962ed212962,0xc5be99a02c6857f9eac67bbce58df5572498f40c
8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe41d2489571d322189246dafa5ebde1f4699f498,0xe41d2489571d322189246dafa5ebde1f4699f498,0x0bc5ae46c32d99c434b7383183aca16dd6e9bdc8,0xc6f348dd3b91a56d117ec0071c1e9b83c0996de4
9,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xf1f85b2c54a2bd284b1cf4141d64fd171bd85539,0xf80758ab42c3b07da84053fd88804bcb6baa4b5c
10,0x93ed3fbe21207ec2e8f2d3c3de6e058cb73bc04d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x93ed3fbe21207ec2e8f2d3c3de6e058cb73bc04d,0xef4f1d5007b4ff88c1a56261fec00264af6001fb,0x343fd171caf4f0287ae6b87d75a8964dc44516ab
11,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0x1bec4db6c3bc499f3dbf289f5499c30d541fec97,0x11b1f53204d03e5529f09eb3091939e4fd8c9cf3
12,0x8a9c67fee641579deba04928c4bc45f66e26343a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x8a9c67fee641579deba04928c4bc45f66e26343a,0xf1360c4ae1cead17b588ec1111983d2791b760d3,0x2b6a25f7c54f43c71c743e627f5663232586c39f
13,0x607f4c5bb672230e8672085532f7e901544a7375,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x607f4c5bb672230e8672085532f7e901544a7375,0x75382c52b6f90b3f8014bfcadac2386513f1e3bc,0x6d57a53a45343187905aad6ad8ed532d105697c1
14,0x408e41876cccdc0f92210600ef50372656052a38,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x408e41876cccdc0f92210600ef50372656052a38,0x611cde65dea90918c0078ac0400a72b0d25b9bb1,0x8bd1661da98ebdd3bd080f0be4e6d9be8ce9858c
15,0x0000000000085d4780b73119b644ae5ecd22b376,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0000000000085d4780b73119b644ae5ecd22b376,0x760166fa4f227da29ecac3bec348f5fa853a1f3c,0xb4d0d9df2738abe81b87b66c80851292492d1404
16,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0x7f8f7dd53d1f3ac1052565e3ff451d7fe666a311,0x819f3450da6f110ba6ea52195b3beafa246062de
17,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0x001b6450083e531a5a7bf310bd2c1af4247e23d4,0x88d97d199b9ed37c29d846d00d443de980832a22
18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,0x06da0fd433c1a5d7a4faa01111c044910a184553,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852
19,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,0xa75f7c2f025f470355515482bde9efa8153536a8,0xf421c3f2e695c2d4c0765379ccace8ade4a480d9
20,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,0x5e63360e891bd60c69445970256c260b0a6a54c6,0xab3f9bf1d81ddb224a2014e98b238638824bcf20
21,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf293d23bf2cdc05411ca0eddd588eb1977e8dcd4,0xf293d23bf2cdc05411ca0eddd588eb1977e8dcd4,0x0b1ed1d00197ce84f0c86003ec4c7f2f06538abc,0x2a66392317698c5818df7a72a58556049f0ae6f2
